Region;Mes;Casos Confirmados;Casos Sospechosos;Recuperaciones;Defunciones
Valles Centrales;Enero;1930;350;1836;48
Valles Centrales;Febrero;1542;254;1399;25
Valles Centrales;Marzo;1518;54;1298;54
Valles Centrales;Abril;1289;64;1187;24
Valles Centrales;Mayo;898;421;850;14
Valles Centrales;Junio;349;60;333;22
Valles Centrales;Julio;1497;146;1395;61
Valles Centrales;Agosto;2025;414;1849;46
Valles Centrales;Septiembre;2035;136;1674;31
Valles Centrales;Octubre;454;439;401;12
Valles Centrales;Noviembre;875;235;799;19
Valles Centrales;Diciembre;2031;142;1697;32
Istmo;Enero;2360;145;2097;34
Istmo;Febrero;350;388;303;51
Istmo;Marzo;1093;290;987;14
Istmo;Abril;2089;154;1961;62
Istmo;Mayo;1109;256;980;35
Istmo;Junio;207;177;179;65
Istmo;Julio;1834;94;1554;36
Istmo;Agosto;998;402;839;20
Istmo;Septiembre;821;214;764;20
Istmo;Octubre;1865;246;1595;6
Istmo;Noviembre;1784;416;1696;29
Istmo;Diciembre;880;51;727;54
Costa;Enero;861;412;726;41
Costa;Febrero;943;362;844;29
Costa;Marzo;829;247;694;10
Costa;Abril;390;426;324;14
Costa;Mayo;1547;130;1423;21
Costa;Junio;1879;395;1577;53
Costa;Julio;388;413;337;16
Costa;Agosto;513;138;430;10
Costa;Septiembre;2127;375;1930;46
Costa;Octubre;1145;40;1014;35
Costa;Noviembre;1880;255;1553;15
Costa;Diciembre;1717;49;1426;38
Mixteca;Enero;554;53;511;63
Mixteca;Febrero;1430;367;1246;13
Mixteca;Marzo;1626;302;1403;46
Mixteca;Abril;1332;391;1210;18
Mixteca;Mayo;2029;321;1726;48
Mixteca;Junio;305;394;251;16
Mixteca;Julio;910;259;870;66
Mixteca;Agosto;1010;120;922;36
Mixteca;Septiembre;2061;437;1750;49
Mixteca;Octubre;886;337;766;48
Mixteca;Noviembre;873;219;728;29
Mixteca;Diciembre;2493;404;2344;46
Sierra Norte;Enero;662;218;567;43
Sierra Norte;Febrero;826;153;772;52
Sierra Norte;Marzo;618;417;508;69
Sierra Norte;Abril;1394;131;1287;43
Sierra Norte;Mayo;2321;395;2071;28
Sierra Norte;Junio;2290;238;2168;36
Sierra Norte;Julio;778;353;661;62
Sierra Norte;Agosto;791;62;710;38
Sierra Norte;Septiembre;880;427;731;33
Sierra Norte;Octubre;1573;286;1383;45
Sierra Norte;Noviembre;888;278;775;19
Sierra Norte;Diciembre;318;217;282;21
Sierra Sur;Enero;718;254;620;54
Sierra Sur;Febrero;1316;229;1232;10
Sierra Sur;Marzo;240;183;219;7
Sierra Sur;Abril;1365;384;1293;64
Sierra Sur;Mayo;1573;158;1357;28
Sierra Sur;Junio;605;214;513;39
Sierra Sur;Julio;2220;94;2093;31
Sierra Sur;Agosto;997;46;946;43
Sierra Sur;Septiembre;1950;235;1696;59
Sierra Sur;Octubre;1614;232;1487;40
Sierra Sur;Noviembre;216;406;182;47
Sierra Sur;Diciembre;1706;149;1548;69
Papaloapan;Enero;1232;204;1033;33
Papaloapan;Febrero;1911;173;1753;59
Papaloapan;Marzo;1042;444;977;38
Papaloapan;Abril;1230;86;1105;17
Papaloapan;Mayo;1377;315;1157;35
Papaloapan;Junio;2271;382;1906;10
Papaloapan;Julio;1092;208;912;25
Papaloapan;Agosto;798;296;688;32
Papaloapan;Septiembre;1834;448;1569;17
Papaloapan;Octubre;2001;222;1868;62
Papaloapan;Noviembre;1217;152;1061;54
Papaloapan;Diciembre;2225;292;1961;57
Cañad;Enero;246;236;206;7
Cañad;Febrero;280;231;242;39
Cañad;Marzo;2084;356;1750;68
Cañad;Abril;292;224;257;47
Cañad;Mayo;2344;193;2219;11
Cañad;Junio;280;212;261;8
Cañad;Julio;979;384;909;18
Cañad;Agosto;1286;155;1130;43
Cañad;Septiembre;1382;284;1171;60
Cañad;Octubre;1993;119;1727;13
Cañad;Noviembre;2225;398;2031;25
Cañad;Diciembre;312;264;281;19
