Region;Mes;Casos Confirmados;Casos Sospechosos;Recuperaciones;Defunciones
Valles Centrales;Enero;194;13;178;2
Valles Centrales;Febrero;54;61;51;4
Valles Centrales;Marzo;34;56;32;2
Valles Centrales;Abril;238;45;217;8
Valles Centrales;Mayo;87;52;84;2
Valles Centrales;Junio;81;54;74;6
Valles Centrales;Julio;79;86;74;6
Valles Centrales;Agosto;181;50;178;3
Valles Centrales;Septiembre;325;76;305;1
Valles Centrales;Octubre;380;64;349;4
Valles Centrales;Noviembre;274;95;265;5
Valles Centrales;Diciembre;329;83;322;1
Istmo;Enero;360;87;353;7
Istmo;Febrero;255;25;239;8
Istmo;Marzo;87;35;85;1
Istmo;Abril;373;63;345;3
Istmo;Mayo;52;81;47;8
Istmo;Junio;344;50;317;3
Istmo;Julio;83;23;75;3
Istmo;Agosto;341;45;320;8
Istmo;Septiembre;147;11;141;3
Istmo;Octubre;228;70;222;4
Istmo;Noviembre;355;8;351;4
Istmo;Diciembre;222;94;214;4
Costa;Enero;199;5;184;4
Costa;Febrero;227;15;208;9
Costa;Marzo;130;42;122;0
Costa;Abril;176;51;162;4
Costa;Mayo;292;72;270;3
Costa;Junio;222;25;204;9
Costa;Julio;29;92;27;5
Costa;Agosto;71;25;64;4
Costa;Septiembre;358;89;350;8
Costa;Octubre;375;23;360;3
Costa;Noviembre;275;36;251;3
Costa;Diciembre;331;95;307;8
Mixteca;Enero;302;27;290;9
Mixteca;Febrero;158;60;147;5
Mixteca;Marzo;74;47;72;2
Mixteca;Abril;123;69;117;3
Mixteca;Mayo;282;24;267;5
Mixteca;Junio;250;52;226;8
Mixteca;Julio;358;82;344;8
Mixteca;Agosto;22;92;20;0
Mixteca;Septiembre;196;23;191;7
Mixteca;Octubre;270;5;263;1
Mixteca;Noviembre;122;53;118;5
Mixteca;Diciembre;362;49;351;1
Sierra Norte;Enero;187;7;173;7
Sierra Norte;Febrero;211;91;199;1
Sierra Norte;Marzo;377;69;353;2
Sierra Norte;Abril;206;91;201;2
Sierra Norte;Mayo;200;31;182;4
Sierra Norte;Junio;355;27;334;0
Sierra Norte;Julio;10;84;9;5
Sierra Norte;Agosto;318;81;294;8
Sierra Norte;Septiembre;95;26;85;8
Sierra Norte;Octubre;284;39;265;1
Sierra Norte;Noviembre;109;66;102;9
Sierra Norte;Diciembre;13;49;12;9
Sierra Sur;Enero;371;38;350;9
Sierra Sur;Febrero;264;7;239;4
Sierra Sur;Marzo;115;70;107;1
Sierra Sur;Abril;376;61;349;8
Sierra Sur;Mayo;306;61;275;5
Sierra Sur;Junio;251;55;229;7
Sierra Sur;Julio;192;71;187;8
Sierra Sur;Agosto;295;5;274;9
Sierra Sur;Septiembre;302;6;284;1
Sierra Sur;Octubre;104;33;102;3
Sierra Sur;Noviembre;334;28;327;6
Sierra Sur;Diciembre;278;17;269;9
Papaloapan;Enero;35;52;33;8
Papaloapan;Febrero;149;53;140;2
Papaloapan;Marzo;87;93;81;7
Papaloapan;Abril;280;82;261;6
Papaloapan;Mayo;229;10;221;2
Papaloapan;Junio;358;33;351;3
Papaloapan;Julio;374;8;345;8
Papaloapan;Agosto;81;10;78;4
Papaloapan;Septiembre;239;27;234;7
Papaloapan;Octubre;166;97;151;1
Papaloapan;Noviembre;238;32;221;7
Papaloapan;Diciembre;109;21;104;2
Caï¿½ï;Enero;231;15;210;3
Caï¿½ï;Febrero;348;28;315;2
Caï¿½ï;Marzo;169;25;165;4
Caï¿½ï;Abril;325;16;298;4
Caï¿½ï;Mayo;248;21;224;1
Caï¿½ï;Junio;219;92;209;2
Caï¿½ï;Julio;152;96;140;8
Caï¿½ï;Agosto;191;42;184;9
Caï¿½ï;Septiembre;394;8;378;1
Caï¿½ï;Octubre;88;12;82;6
Caï¿½ï;Noviembre;49;19;47;8
Caï¿½ï;Diciembre;136;75;131;5
